,ID,age,studytime,failures,famrel,freetime,goout,Dalc,Walc,health,absences,G3,school_MS,sex_M,famsize_LE3,activities_yes,higher_yes,internet_yes,romantic_yes
0,1,16,2,0,4,3,2,1,1,3,0,18,0,1,0,1,1,1,1
1,3,17,3,0,4,2,2,2,3,5,10,11,0,0,0,0,1,1,1
2,5,15,2,0,4,5,2,1,1,5,0,16,0,1,0,1,1,1,1
3,6,19,1,1,4,4,4,3,3,5,4,10,1,1,0,0,1,1,0
4,7,15,2,0,5,4,2,3,4,5,0,11,0,1,0,0,1,1,0
5,8,15,1,0,5,3,4,4,4,1,0,13,0,0,1,0,1,1,0
6,9,17,2,0,4,4,4,4,4,4,4,9,0,1,1,1,1,1,0
7,10,15,2,0,4,3,3,2,3,5,0,11,0,1,0,1,1,1,0
8,11,16,2,0,4,3,5,2,4,4,0,11,0,1,0,0,0,1,0
9,12,17,2,0,1,2,3,1,2,5,0,15,1,0,1,0,1,0,1
10,13,18,2,0,4,3,5,1,1,1,2,14,1,0,0,1,1,1,0
11,14,15,1,0,5,5,3,1,1,4,4,14,0,1,1,1,1,1,0
12,15,15,3,0,4,5,2,1,1,3,0,16,0,1,0,0,1,1,1
13,19,16,2,0,3,4,2,1,1,5,2,9,0,1,1,0,1,1,0
14,20,18,2,0,3,2,3,1,1,5,4,13,0,0,0,0,1,0,0
15,21,15,2,0,4,4,2,3,3,2,0,9,1,0,0,0,1,1,0
16,22,17,1,0,4,2,3,3,4,4,4,14,1,1,0,0,0,0,0
17,23,17,2,0,3,2,2,1,2,3,0,13,1,0,0,0,1,0,0
18,24,16,2,0,5,3,4,1,1,2,8,10,0,0,0,1,1,1,1
19,26,17,1,0,5,5,1,1,1,3,0,10,1,0,1,0,1,1,0
20,27,18,1,1,3,2,5,2,5,5,4,8,0,1,0,0,0,1,0
21,28,15,2,0,5,4,3,1,2,3,2,11,0,1,0,0,1,1,0
22,30,18,2,0,4,3,5,1,2,1,0,18,1,0,0,1,1,1,0
23,31,16,3,0,4,4,3,1,1,4,0,17,0,1,0,1,1,1,1
24,32,17,2,0,1,2,3,1,2,5,2,11,1,0,1,0,1,0,1
25,33,16,3,0,5,3,5,1,4,5,1,12,1,0,0,0,1,1,1
26,34,18,2,1,5,4,3,1,1,5,12,13,0,0,1,0,1,1,1
27,35,18,2,0,4,3,3,1,1,2,0,12,0,0,1,1,1,1,1
28,38,17,2,0,4,2,1,1,1,3,2,14,0,0,0,1,1,1,1
29,39,17,1,0,4,4,3,1,1,4,0,13,1,0,0,0,1,1,0
30,40,18,2,0,3,2,4,1,4,2,4,19,1,1,0,1,1,1,0
31,41,17,1,0,3,3,3,1,4,3,3,8,0,0,0,0,1,0,0
32,42,15,1,0,5,3,4,4,4,1,6,13,0,0,1,0,1,1,0
33,43,18,1,0,4,1,4,5,5,1,8,11,1,1,1,0,1,0,0
34,44,15,4,0,1,3,3,5,5,3,4,12,0,1,0,1,1,1,1
35,45,17,3,0,4,3,3,1,1,4,0,13,0,0,0,1,1,1,0
36,46,17,3,0,3,3,2,2,2,3,0,10,0,0,1,1,1,1,0
37,47,17,3,0,4,3,3,1,1,1,2,15,0,1,0,0,1,1,1
38,48,19,3,1,5,4,2,1,2,5,0,0,1,0,0,1,1,1,0
39,49,17,2,0,5,3,3,1,1,5,0,13,0,0,1,0,1,1,0
40,50,17,1,0,4,4,3,1,3,5,0,15,0,1,0,0,1,1,0
41,51,19,1,1,4,3,2,1,3,5,0,0,1,1,0,0,1,0,0
42,52,15,1,0,4,3,1,1,1,2,8,13,0,0,0,1,1,0,0
43,53,20,1,2,5,5,3,1,1,5,0,15,0,1,0,1,1,0,0
44,55,18,1,0,4,3,3,2,3,3,3,12,1,1,1,1,0,1,1
45,56,17,1,0,5,5,5,1,3,3,2,12,1,0,0,0,1,1,0
46,57,15,1,0,5,4,2,1,1,5,0,15,0,1,0,0,1,1,0
47,58,20,1,1,5,3,1,1,1,5,5,10,0,0,0,0,1,1,1
48,59,16,2,0,4,4,4,1,1,5,0,12,1,0,0,1,1,1,0
49,60,18,3,0,5,3,2,1,1,3,1,12,0,1,0,1,1,0,0
50,61,21,1,3,5,5,3,3,3,3,3,7,1,1,0,0,1,0,0
51,62,15,1,3,4,5,5,2,5,5,0,10,0,1,1,0,1,1,0
52,63,18,2,0,4,4,3,1,2,4,0,14,1,0,1,0,1,1,0
53,64,18,2,0,5,4,3,3,4,2,4,10,1,0,1,1,1,1,0
54,65,15,2,2,3,3,4,2,4,5,2,5,0,0,0,0,1,1,1
55,66,16,2,1,4,3,3,2,2,5,14,9,0,0,1,1,1,1,0
56,68,18,4,0,5,3,3,1,1,1,4,15,0,0,1,0,1,1,0
57,69,18,2,0,3,3,4,2,4,3,0,9,1,1,0,0,1,0,0
58,70,16,1,0,4,3,3,1,1,4,6,18,0,1,0,0,1,1,0
59,71,16,2,0,4,2,3,1,1,5,2,16,0,0,0,0,1,1,0
60,72,16,1,0,4,2,2,4,3,2,0,14,1,0,0,1,1,1,1
61,73,15,1,1,5,5,5,3,4,5,6,10,0,1,1,0,1,0,0
62,74,16,2,0,3,3,3,1,1,2,0,10,1,0,0,1,1,1,0
63,75,18,2,1,4,3,3,2,2,2,0,0,0,1,0,1,1,1,0
64,76,17,4,0,5,2,2,1,2,5,0,18,0,0,0,1,1,1,0
65,77,16,4,0,4,2,2,1,1,2,2,17,0,1,0,1,1,1,0
66,78,16,2,0,4,4,3,1,3,4,4,12,0,0,0,1,1,0,0
67,79,15,2,0,5,4,3,1,2,4,0,10,1,0,1,0,1,1,0
68,80,17,4,0,5,2,2,1,2,5,0,18,0,0,0,1,1,1,0
69,81,15,2,0,5,3,2,1,1,1,0,11,0,0,1,1,1,1,1
70,82,16,1,2,4,4,5,3,5,5,0,10,0,1,1,0,1,1,0
71,84,15,3,0,5,2,2,1,1,4,0,13,0,0,0,1,1,1,0
72,87,15,2,0,1,3,2,2,3,1,24,9,0,0,0,0,1,0,1
73,89,17,2,0,4,4,5,1,1,4,1,10,1,0,0,0,1,1,1
74,90,15,2,0,4,5,2,1,1,5,0,15,0,1,0,1,1,1,1
75,91,15,3,0,5,4,3,1,1,4,2,18,0,1,1,1,1,1,0
76,92,17,2,0,4,4,3,1,1,3,4,16,1,1,0,1,1,1,0
77,93,17,1,0,5,3,2,1,2,3,21,13,0,0,0,0,1,1,0
78,94,16,3,0,5,3,3,1,3,2,0,12,0,1,0,1,1,1,1
79,95,17,4,1,5,4,5,3,4,5,0,10,1,1,0,1,1,0,0
80,96,17,3,0,3,3,3,2,3,2,0,15,0,0,1,0,1,1,0
81,97,15,3,0,4,3,3,1,1,5,0,0,0,0,0,1,1,1,1
82,98,17,3,0,4,3,3,1,1,3,0,14,0,0,0,0,1,1,0
83,100,18,1,0,5,2,3,1,2,4,0,10,1,0,0,0,1,1,1
84,102,16,2,0,3,4,5,1,2,1,1,11,1,0,0,0,0,1,0
85,103,16,2,0,4,1,3,3,5,5,18,7,0,1,1,0,1,0,0
86,105,16,1,0,4,3,3,1,3,5,11,11,1,0,0,0,0,1,1
87,107,18,3,0,4,4,3,2,3,3,4,14,0,0,1,0,1,0,0
88,108,18,1,0,4,3,3,2,3,3,0,9,1,1,1,0,0,1,1
89,110,17,3,0,4,3,3,1,1,3,0,16,0,0,0,0,1,1,0
90,111,17,2,0,4,3,3,1,1,1,6,16,0,0,0,0,1,1,1
91,112,18,2,0,4,4,4,1,3,3,11,12,0,1,1,1,0,1,0
92,113,16,2,0,4,4,3,1,1,1,4,9,0,0,1,1,1,1,0
93,114,18,1,0,4,2,3,1,2,1,0,10,0,1,1,1,1,1,0
94,115,15,2,0,4,1,3,1,3,4,2,8,0,0,1,0,1,1,0
